_id	x	y	senses
time/NN/Encow_sample_32086/43	10.4535	13.525	time_1
time/NN/Encow_sample_14757/76	-11.9945	-10.7243	time_4
time/NN/Encow_sample_25494/21	-7.2108	2.1154	time_5
time/NN/Encow_sample_4464/45	15.9028	6.2871	time_8
time/NN/Encow_sample_17417/46	23.0429	11.4175	time_4
time/NN/Encow_sample_15711/36	25.928	20.1852	time_2
time/NN/Encow_sample_19458/8	-16.1378	24.7294	time_5
time/NNS/Encow_sample_32658/42	-23.8036	-9.0338	time_3
time/NN/Encow_sample_17453/61	25.8606	-20.0235	time_1
time/NNS/Encow_sample_15955/57	-2.4909	-19.8677	time_3
time/NN/Encow_sample_21534/7	-5.1577	9.0037	time_8
time/NNS/Encow_sample_10520/71	-23.2451	-8.301	time_3
time/NNS/Encow_sample_27297/9	15.4561	-11.8436	time_4
time/NN/Encow_sample_6882/41	12.1216	-5.9892	time_4
time/NN/Encow_sample_28176/41	-29.5639	-17.979	time_3
time/NN/Encow_sample_13493/49	0.2743	5.0748	time_2
time/NN/Encow_sample_7560/24	13.5909	12.8221	time_4
time/NN/Encow_sample_1063/2	13.4321	10.7641	time_1
time/NN/Encow_sample_18454/54	-21.4235	-25.3082	time_1
time/NN/Encow_sample_29404/44	-32.8939	-15.1755	time_3
time/NN/Encow_sample_24671/36	-33.0822	-6.791	time_3
time/NN/Encow_sample_30323/30	-4.4128	-16.9213	time_8
time/NN/Encow_sample_5133/20	-15.9099	24.1433	time_7
time/NNS/Encow_sample_21580/77	1.3357	19.0313	time_3
time/NN/Encow_sample_1678/27	-23.4547	9.8934	time_2
time/NNS/Encow_sample_105/50	20.55	25.4438	time_1
time/NN/Encow_sample_19935/45	-13.3588	-27.4063	time_1
time/NN/Encow_sample_23189/18	-29.1032	-15.153	time_3
time/NN/Encow_sample_1941/72	-6.1821	-4.1358	time_3
time/NN/Encow_sample_16283/12	6.5619	17.4297	time_5
time/NN/Encow_sample_23629/10	-0.9132	1.7104	time_8
time/NNS/Encow_sample_29741/46	20.9229	-15.1715	time_3
time/NN/Encow_sample_9299/64	-20.1887	27.0879	time_8
time/NN/Encow_sample_12605/34	-26.1955	-7.3506	time_4
time/NN/Encow_sample_2744/30	5.1554	21.44	time_1
time/NN/Encow_sample_29892/69	14.411	15.791	time_4
time/NN/Encow_sample_25181/17	-31.4101	3.4461	time_2
time/NN/Encow_sample_6465/17	-17.9759	8.9086	time_2
time/NN/Encow_sample_23403/34	-31.5372	-7.2828	time_1
time/NNS/Encow_sample_14763/52	20.1219	-13.3453	time_4
time/NN/Encow_sample_32691/36	19.9736	-24.5722	time_2
time/NN/Encow_sample_26247/79	-31.4098	3.4756	time_2
time/NN/Encow_sample_465/40	-11.8176	-27.9652	time_1
time/NNS/Encow_sample_17033/127	-16.4244	-26.6789	time_1
time/NN/Encow_sample_31257/31	-28.0443	-20.4839	time_1
time/NN/Encow_sample_1393/33	17.9135	-27.0102	time_8
time/NN/Encow_sample_20855/9	10.4225	15.1031	time_2
time/NN/Encow_sample_841/22	18.9362	-26.6453	time_8
time/NN/Encow_sample_9657/105	17.6779	10.3684	time_8
time/NN/Encow_sample_10941/61	17.7678	16.8955	time_2
time/NNS/Encow_sample_19072/9	17.968	20.4144	time_3
time/NN/Encow_sample_19950/5	-16.654	9.8291	time_2
time/NN/Encow_sample_3829/43	-30.3903	-16.1161	time_3
time/NN/Encow_sample_1138/35	21.5538	8.3301	time_1
time/NN/Encow_sample_5663/74	-20.5142	-13.8631	time_8
time/NN/Encow_sample_4850/52	9.8357	9.1469	time_2
time/NN/Encow_sample_5446/22	20.6612	8.0849	time_2
time/NNS/Encow_sample_7376/28	9.4835	-7.9554	time_1
time/NN/Encow_sample_10315/12	-27.5212	-8.4395	time_2
time/NN/Encow_sample_26957/43	6.9498	-0.9121	time_2
time/NN/Encow_sample_26954/6	-0.7582	-0.0969	time_8
time/NN/Encow_sample_10055/20	-23.2111	24.9705	time_4
time/NN/Encow_sample_11344/13	-30.8642	-15.3431	time_3
time/NN/Encow_sample_8102/30	-15.7113	10.0674	time_2
time/NN/Encow_sample_6700/118	-3.3954	9.0156	time_2
time/NN/Encow_sample_2055/56	6.7823	26.6604	time_1
time/NNS/Encow_sample_11784/38	11.8368	-2.1359	time_4
time/NNS/Encow_sample_9015/109	17.2427	-16.078	time_4
time/NN/Encow_sample_28496/50	-31.3313	-13.3417	time_3
time/NNS/Encow_sample_21377/3	11.6308	30.1789	time_2
time/NNS/Encow_sample_10520/77	-0.5453	-22.6664	time_3
time/NN/Encow_sample_20168/95	13.3552	-30.3466	time_8
time/NN/Encow_sample_27512/27	25.7003	-23.2938	time_5
time/NN/Encow_sample_31362/62	24.6654	11.5954	time_2
time/NN/Encow_sample_11491/39	-0.2451	-21.9644	time_2
time/NN/Encow_sample_26107/12	23.4502	11.9789	time_4
time/NN/Encow_sample_13726/6	12.8258	-30.775	time_8
time/NN/Encow_sample_25392/29	9.335	13.7317	time_8
time/NN/Encow_sample_21835/106	-15.5634	23.4024	time_8
time/NNS/Encow_sample_19964/9	11.4219	-14.7292	time_3
time/NN/Encow_sample_19325/50	-27.3905	-5.3957	time_3
time/NN/Encow_sample_13920/90	-5.9416	-4.0333	time_4
time/NNS/Encow_sample_3195/9	6.1486	-21.4485	time_4
time/NN/Encow_sample_700/57	-28.8887	-10.3486	time_7
time/NN/Encow_sample_2561/52	0.0231	2.6529	time_8
time/NN/Encow_sample_20118/31	25.0172	-22.304	time_1
time/NN/Encow_sample_25069/62	-6.8681	2.8229	time_5
time/NN/Encow_sample_15754/49	4.354	-9.9819	time_5
time/NN/Encow_sample_15422/61	13.7517	-5.6275	time_8
time/NN/Encow_sample_3279/26	13.9153	-7.1323	time_8
time/NNS/Encow_sample_32215/5	17.3222	22.1429	time_1
